pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.05891798783987766,UCD-0001016,Healthy,Neuronal Signaling
0.17485125132714954,UCD-0001016,Healthy,Neuronal Signaling
0.21142028787753267,UCD-0001016,Healthy,Neuronal Signaling
0.2594937819702503,UCD-0001016,Healthy,Neuronal Signaling
0.10942617660447963,UCD-0001016,Healthy,Neuronal Signaling
0.21600562662370593,UCD-0001016,Healthy,Neuronal Signaling
0.27667409077843197,UCD-0001016,Healthy,Neuronal Signaling
0.31144556086415415,UCD-0001016,Healthy,Neuronal Signaling
0.03241678623846398,UCD-0001016,Healthy,Neuronal Signaling
0.11002375488994058,UCD-0001016,Healthy,Neuronal Signaling
0.18115929286938956,UCD-0001016,Healthy,Neuronal Signaling
0.2880130566051625,UCD-0001016,Healthy,Neuronal Signaling
-0.1982087443226532,UCD-0001016,Healthy,Neuronal Signaling
-0.09512015438072817,UCD-0001016,Healthy,Neuronal Signaling
-0.09233072906358619,UCD-0001016,Healthy,Neuronal Signaling
0.03836274892680347,UCD-0001016,Healthy,Neuronal Signaling
0.2929684907802687,UCD-0001016,Healthy,Neuronal Signaling
0.3518588441829212,UCD-0001016,Healthy,Neuronal Signaling
0.4578696228092496,UCD-0001016,Healthy,Neuronal Signaling
0.5281941604128103,UCD-0001016,Healthy,Neuronal Signaling
0.3072347311006038,UCD-0001016,Healthy,Neuronal Signaling
0.4064449412417186,UCD-0001016,Healthy,Neuronal Signaling
0.42411510230932264,UCD-0001016,Healthy,Neuronal Signaling
0.42688821109446323,UCD-0001016,Healthy,Neuronal Signaling
0.19195046610807326,UCD-0001016,Healthy,Neuronal Signaling
0.2810695832190369,UCD-0001016,Healthy,Neuronal Signaling
0.28384954751384944,UCD-0001016,Healthy,Neuronal Signaling
0.33996907039829594,UCD-0001016,Healthy,Neuronal Signaling
0.2329009800909374,UCD-0001016,Healthy,Neuronal Signaling
0.26346738382280027,UCD-0001016,Healthy,Neuronal Signaling
0.31691067654568594,UCD-0001016,Healthy,Neuronal Signaling
0.3137225870260629,UCD-0001016,Healthy,Neuronal Signaling
0.19682219329378184,UCD-0001016,Healthy,Neuronal Signaling
0.2938986162205128,UCD-0001016,Healthy,Neuronal Signaling
0.3425981274968596,UCD-0001016,Healthy,Neuronal Signaling
0.3360555632858662,UCD-0001016,Healthy,Neuronal Signaling
0.03893522972226033,UCD-0001016,Healthy,Neuronal Signaling
0.13721559501908198,UCD-0001016,Healthy,Neuronal Signaling
0.2169309144797261,UCD-0001016,Healthy,Neuronal Signaling
0.2603663136406283,UCD-0001016,Healthy,Neuronal Signaling
0.14515585804367093,UCD-0001016,Healthy,Neuronal Signaling
0.23294046688562536,UCD-0001016,Healthy,Neuronal Signaling
0.3092798068521623,UCD-0001016,Healthy,Neuronal Signaling
0.3198084183355457,UCD-0001016,Healthy,Neuronal Signaling
0.002327558320499281,UCD-0001016,Healthy,Neuronal Signaling
0.10915126023889911,UCD-0001016,Healthy,Neuronal Signaling
0.07680418229908209,UCD-0001016,Healthy,Neuronal Signaling
0.12698166188563528,UCD-0001016,Healthy,Neuronal Signaling
-0.07630819898134486,UCD-0001024,Healthy,Neuronal Signaling
-0.07326867774088265,UCD-0001024,Healthy,Neuronal Signaling
-0.053315519338793756,UCD-0001024,Healthy,Neuronal Signaling
-0.021695852808257365,UCD-0001024,Healthy,Neuronal Signaling
-0.04945746636572458,UCD-0001024,Healthy,Neuronal Signaling
-0.011563175538976402,UCD-0001024,Healthy,Neuronal Signaling
-0.030449050075720147,UCD-0001024,Healthy,Neuronal Signaling
0.007379418268034012,UCD-0001024,Healthy,Neuronal Signaling
-0.16411828500489473,UCD-0001024,Healthy,Neuronal Signaling
-0.1221619777183716,UCD-0001024,Healthy,Neuronal Signaling
-0.06537581445887321,UCD-0001024,Healthy,Neuronal Signaling
-0.032417088916753066,UCD-0001024,Healthy,Neuronal Signaling
-0.2114403864383847,UCD-0001024,Healthy,Neuronal Signaling
-0.17245116403766783,UCD-0001024,Healthy,Neuronal Signaling
-0.028331494678725748,UCD-0001024,Healthy,Neuronal Signaling
-0.025026285937790462,UCD-0001024,Healthy,Neuronal Signaling
-0.06344252714063037,UCD-0001024,Healthy,Neuronal Signaling
-0.10208693170085091,UCD-0001024,Healthy,Neuronal Signaling
-0.06355564464494531,UCD-0001024,Healthy,Neuronal Signaling
-0.014580347884034403,UCD-0001024,Healthy,Neuronal Signaling
-0.14454360053677284,UCD-0001024,Healthy,Neuronal Signaling
-0.15347661425482576,UCD-0001024,Healthy,Neuronal Signaling
-0.11394551405885466,UCD-0001024,Healthy,Neuronal Signaling
-0.056287235519273,UCD-0001024,Healthy,Neuronal Signaling
-0.3040878366919203,UCD-0001024,Healthy,Neuronal Signaling
-0.20262626714673068,UCD-0001024,Healthy,Neuronal Signaling
-0.13821639751980794,UCD-0001024,Healthy,Neuronal Signaling
-0.17490698982327452,UCD-0001024,Healthy,Neuronal Signaling
-0.4255961473719778,UCD-0001024,Healthy,Neuronal Signaling
-0.41495529070449944,UCD-0001024,Healthy,Neuronal Signaling
-0.305914917611885,UCD-0001024,Healthy,Neuronal Signaling
-0.3062757934112418,UCD-0001024,Healthy,Neuronal Signaling
0.03350536249693449,UCD-0001024,Healthy,Neuronal Signaling
0.16082957680371815,UCD-0001024,Healthy,Neuronal Signaling
0.13753283296632002,UCD-0001024,Healthy,Neuronal Signaling
0.061832642044020836,UCD-0001024,Healthy,Neuronal Signaling
0.223209411706184,UCD-0001024,Healthy,Neuronal Signaling
0.2435879219738052,UCD-0001024,Healthy,Neuronal Signaling
0.22523086486310132,UCD-0001024,Healthy,Neuronal Signaling
0.1861712269719661,UCD-0001024,Healthy,Neuronal Signaling
-0.021616692316827155,UCD-0001024,Healthy,Neuronal Signaling
0.0262554528868816,UCD-0001024,Healthy,Neuronal Signaling
0.043933659820753056,UCD-0001024,Healthy,Neuronal Signaling
0.07630197291527888,UCD-0001024,Healthy,Neuronal Signaling
0.062251765644243215,UCD-0001024,Healthy,Neuronal Signaling
0.04385060801270443,UCD-0001024,Healthy,Neuronal Signaling
0.07824409841955952,UCD-0001024,Healthy,Neuronal Signaling
0.0957606094246902,UCD-0001024,Healthy,Neuronal Signaling
0.05262767479451106,UCD-0001024,Healthy,Neuronal Signaling
0.08096208237608005,UCD-0001024,Healthy,Neuronal Signaling
0.04430228529078818,UCD-0001024,Healthy,Neuronal Signaling
0.09045068876932424,UCD-0001024,Healthy,Neuronal Signaling
-0.15259222061129013,UCD-0001024,Healthy,Neuronal Signaling
-0.0918160217798252,UCD-0001024,Healthy,Neuronal Signaling
-0.1305649424189436,UCD-0001024,Healthy,Neuronal Signaling
-0.1153011709538206,UCD-0001024,Healthy,Neuronal Signaling
-0.1626972491519803,UCD-0001024,Healthy,Neuronal Signaling
-0.09928570430261491,UCD-0001024,Healthy,Neuronal Signaling
-0.08422655465840774,UCD-0001024,Healthy,Neuronal Signaling
-0.06147732559495136,UCD-0001024,Healthy,Neuronal Signaling
-0.262299894132309,UCD-0001024,Healthy,Neuronal Signaling
-0.24892616636500764,UCD-0001024,Healthy,Neuronal Signaling
-0.162870615875865,UCD-0001024,Healthy,Neuronal Signaling
-0.03169907403769075,UCD-0001024,Healthy,Neuronal Signaling
0.4341870466055459,UCD-0001040,Healthy,Endocrinology & Hormones
0.35981036510371955,UCD-0001040,Healthy,Endocrinology & Hormones
0.35753566519631985,UCD-0001040,Healthy,Endocrinology & Hormones
0.18648272471572705,UCD-0001040,Healthy,Endocrinology & Hormones
0.4729826218468852,UCD-0001040,Healthy,Endocrinology & Hormones
0.43978485773324044,UCD-0001040,Healthy,Endocrinology & Hormones
0.40730161566886264,UCD-0001040,Healthy,Endocrinology & Hormones
0.27642921791670566,UCD-0001040,Healthy,Endocrinology & Hormones
0.5599546948523814,UCD-0001040,Healthy,Endocrinology & Hormones
0.5359732910332987,UCD-0001040,Healthy,Endocrinology & Hormones
0.42626266522368145,UCD-0001040,Healthy,Endocrinology & Hormones
0.30477149188422875,UCD-0001040,Healthy,Endocrinology & Hormones
0.6769954889783918,UCD-0001040,Healthy,Endocrinology & Hormones
0.6655401504298251,UCD-0001040,Healthy,Endocrinology & Hormones
0.5369269461726398,UCD-0001040,Healthy,Endocrinology & Hormones
0.4194698318573148,UCD-0001040,Healthy,Endocrinology & Hormones
0.5221585467196095,UCD-0001040,Healthy,Endocrinology & Hormones
0.4959283687306121,UCD-0001040,Healthy,Endocrinology & Hormones
